numeric1,numeric2,numeric3,numeric4,numeric5,numeric6,numeric7,numeric8,numeric9,numeric10,numeric11,numeric12,numeric13,label,cat14,cat15,cat16,cat17,cat18,cat19,cat20,cat21,cat22,cat23,cat24,cat25,cat26,cat27,cat28,cat29,cat30,cat31,cat32,cat33,cat34,cat35,cat36,cat37,cat38,cat39
1,0,0,0,0,0,1,0,9,124,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,1,0,0,0,0,0,124,6,0,0,0,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,1
2,0,0,20,0,0,0,0,12,124,20,3,6,0,1,2,2,2,0,0,2,1,0,2,2,2,2,2,2,2,2,2,1,2,2,1,0,2,1,2
0,48,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,3,0,1,3,1,0,3,3,0,3,2,3,0,3,3,1,2,0,0,0,3,1,2
3,0,0,0,0,0,0,0,0,124,6,0,0,0,2,4,0,4,0,2,4,1,0,4,4,3,4,0,4,3,3,4,1,2,3,0,1,4,1,2
0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,5,3,5,1,3,5,1,0,2,5,4,5,2,5,4,4,5,1,2,4,2,2,5,1,2
0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,6,4,6,1,1,6,1,0,2,6,5,6,2,6,5,4,6,1,2,5,0,3,6,1,2
1,0,0,0,0,0,0,0,0,124,6,0,0,1,0,3,0,7,2,2,7,0,0,5,7,0,7,2,3,0,0,3,1,2,0,0,1,3,1,2
0,2,0,11,7,1,3,6,7,0,6,0,1,0,3,7,5,2,0,0,8,1,0,6,8,6,8,1,7,6,0,7,1,2,6,0,1,2,1,2
0,1,0,1,13,0,0,0,0,0,6,0,0,0,3,8,6,8,0,4,9,1,0,7,3,7,3,2,8,7,5,8,1,2,7,0,1,7,1,2
0,0,9,0,22,0,0,0,3,0,0,0,0,0,3,9,7,9,0,0,10,1,1,2,9,8,9,1,9,8,4,9,0,1,8,0,0,8,2,3
0,0,0,8,0,0,0,1,5,0,6,0,0,0,3,10,0,10,3,4,11,1,0,2,10,0,10,2,10,0,5,10,1,2,0,0,1,9,1,2
0,0,0,0,0,0,1,0,0,0,27,0,0,1,5,11,0,11,0,1,12,0,0,8,11,0,11,2,11,9,0,11,1,2,9,0,1,4,1,2
0,0,0,7,4,0,0,0,0,0,6,0,0,1,6,12,0,12,0,4,13,2,0,9,12,0,12,0,12,0,1,12,2,3,0,0,1,10,3,4
0,2,1,5,1,0,0,0,0,0,6,0,0,0,7,0,0,13,4,2,14,1,0,10,13,0,13,0,13,10,6,13,0,0,0,0,4,11,0,5
0,0,0,26,8,0,0,0,67,0,0,0,2,0,3,13,8,14,3,0,15,3,0,2,14,9,14,3,14,11,4,14,1,2,10,0,0,12,1,2
1,53,0,2,0,0,0,0,0,124,6,0,0,1,0,14,0,10,1,0,16,1,0,2,15,0,15,2,15,0,5,15,0,0,0,0,1,9,4,6
0,0,0,0,6,2,0,0,6,0,6,0,0,0,2,15,9,15,3,5,17,1,0,11,16,10,16,1,16,12,0,16,1,2,11,1,1,13,1,2
0,1,0,2,0,0,0,1,4,0,6,0,0,0,3,1,0,10,5,5,18,4,0,12,17,0,17,0,17,0,0,1,0,0,0,0,1,14,2,7
8,5,0,4,0,0,0,2,0,124,6,0,0,0,8,16,10,16,3,2,19,1,0,13,18,11,18,4,18,13,0,17,1,2,12,0,5,15,1,2
0,2,0,0,2,0,2,1,7,0,68,0,0,1,9,11,11,17,0,0,20,5,0,2,19,12,19,0,19,14,0,18,1,2,13,0,1,16,1,2
0,0,1,0,0,1,0,0,2,0,6,0,0,0,3,17,0,18,0,0,21,1,0,2,20,0,20,2,20,0,5,19,3,3,0,0,1,17,0,8
0,0,0,8,2,0,0,0,0,0,6,0,0,0,3,11,12,19,0,5,22,5,0,14,21,13,21,1,21,15,1,20,1,2,14,0,0,18,1,2
0,0,0,25,4,0,0,4,6,0,0,0,2,0,3,18,13,20,0,0,23,1,0,15,22,14,22,2,22,16,3,21,1,2,15,0,6,19,1,2
0,0,0,0,2,0,0,5,3,0,6,0,0,0,7,19,5,2,0,0,24,1,0,11,23,6,23,2,23,6,5,22,1,2,6,3,0,2,1,2
0,0,0,0,2,0,0,0,0,0,6,0,0,0,7,17,14,21,0,4,25,1,0,16,24,15,24,5,24,17,1,19,4,3,16,0,1,20,0,9
0,0,0,23,0,0,4,6,47,0,102,1,2,1,2,20,0,22,0,0,26,0,0,17,25,0,25,2,25,0,7,23,0,3,0,0,1,21,5,10
0,1,0,2,2,0,0,0,1,0,13,0,0,1,0,11,15,23,3,0,27,1,0,11,26,16,26,2,26,18,6,24,1,2,17,0,0,22,1,2
0,4,0,22,1,0,0,3,11,0,20,0,2,1,0,21,0,10,3,3,28,1,0,18,27,0,27,1,27,0,0,25,1,2,0,0,1,23,1,2
3,0,0,19,0,0,0,6,1,124,6,0,1,1,3,22,16,24,0,2,29,1,0,19,3,17,3,5,28,19,0,26,1,2,18,0,0,24,1,2
0,15,0,4,2,0,0,0,5,0,6,0,0,1,2,23,17,25,3,1,30,1,0,2,28,18,28,2,29,20,0,27,1,2,19,0,0,25,1,2
0,0,0,0,1,0,0,7,5,0,0,0,0,0,6,24,5,2,0,1,31,1,0,2,29,6,29,6,30,6,4,28,1,2,6,0,7,2,1,2
1,0,0,0,0,0,1,2,2,0,13,1,0,0,3,25,18,26,3,0,26,1,0,20,25,19,25,2,31,21,6,29,1,2,20,0,1,26,1,2
5,0,0,11,0,0,0,2,0,124,6,0,1,0,3,26,0,13,0,4,21,1,0,2,30,0,20,7,32,10,4,30,0,3,0,0,1,11,0,11
1,14,0,1,0,0,0,0,0,124,20,0,0,1,3,27,19,27,0,4,32,1,0,21,31,20,30,1,33,22,0,31,1,2,21,0,1,27,1,2
0,6,0,4,0,0,2,3,24,0,61,0,0,1,3,28,20,28,3,5,33,1,0,22,32,21,31,2,34,23,2,32,5,3,22,1,6,20,6,9
0,0,0,0,9,0,0,0,3,0,0,0,0,0,10,7,21,15,0,0,34,0,0,2,33,22,32,1,35,24,4,33,1,2,23,0,1,13,1,2
7,0,0,0,0,0,2,6,3,124,20,0,0,0,11,29,0,29,0,5,35,1,0,23,34,0,33,1,36,0,0,34,0,3,0,3,8,28,4,12
0,0,0,17,2,0,0,4,4,0,6,0,1,0,0,23,0,30,3,0,36,1,0,24,35,0,34,0,37,0,0,35,1,2,0,0,1,25,1,2
10,0,0,29,0,0,0,4,1,249,13,0,2,0,7,30,0,10,0,4,37,1,0,25,36,0,35,0,38,0,2,36,0,0,0,0,1,9,6,2
0,2,0,5,1,0,7,9,7,0,40,7,0,0,3,25,5,2,3,5,26,0,0,17,25,6,25,2,39,6,2,37,1,2,6,0,1,2,1,2
112,17,0,5,0,0,10,7,4,374,27,15,0,1,3,18,22,31,0,5,38,1,0,26,37,23,36,1,40,25,2,38,1,2,24,0,1,29,1,2
0,0,0,7,0,0,4,0,4,0,34,0,0,0,3,17,23,32,0,4,39,1,0,27,38,24,37,0,41,26,6,39,6,3,25,0,1,18,0,13
0,1,0,0,44,9,0,0,4,0,0,0,0,0,7,11,24,33,0,0,40,5,1,2,39,25,38,2,42,27,5,40,1,2,26,0,0,30,1,2
0,0,0,0,1,0,0,1,1,0,6,0,0,0,3,24,5,2,1,0,41,1,0,11,40,6,39,6,30,6,1,28,1,2,6,3,0,2,1,2
0,1,0,1,3,0,0,7,0,0,0,0,0,0,3,7,25,15,0,0,42,5,0,2,41,26,40,1,35,28,6,33,1,2,27,0,1,13,1,2
0,0,0,22,7,2,0,8,18,0,13,0,5,0,3,31,5,2,3,0,43,6,0,2,14,6,14,0,43,6,0,41,1,2,6,0,1,2,1,2
39,1,0,16,0,0,3,4,3,249,13,0,1,0,3,29,0,10,0,5,44,1,0,28,42,0,41,2,44,0,0,34,7,3,0,4,9,31,4,14
1,128,0,5,0,0,7,0,31,124,74,0,0,0,3,11,0,34,0,1,45,0,0,29,43,0,42,1,18,0,0,42,1,2,0,0,6,32,1,2
0,10,0,0,0,0,3,1,3,0,61,0,0,0,0,32,26,35,0,4,46,1,0,30,44,27,43,1,45,29,0,43,1,2,28,0,1,33,1,2
0,1,0,13,0,0,0,1,1,0,6,0,1,0,3,28,0,36,6,0,47,6,0,2,45,0,44,1,46,0,2,32,8,3,0,0,8,34,6,15
1,1,0,4,0,0,0,0,0,124,6,0,0,1,7,11,0,10,0,5,48,1,0,2,46,0,45,2,47,0,5,44,1,2,0,1,0,35,1,2
0,0,0,4,1,0,0,0,0,0,0,0,0,0,12,33,27,37,5,4,49,1,0,2,47,28,46,0,48,30,2,45,0,1,29,0,7,2,7,16
0,0,0,4,1,1,0,1,9,0,6,5,0,0,3,12,0,10,0,2,50,4,0,31,48,0,47,1,49,0,2,12,9,0,0,0,0,36,0,17
0,3,0,10,0,0,0,1,4,0,13,0,1,0,13,34,0,38,0,0,51,5,0,32,49,0,48,0,50,0,0,46,10,3,0,0,9,37,8,18
7,0,0,0,0,0,0,0,0,124,6,0,0,0,2,12,0,39,0,0,52,7,0,33,50,0,49,2,51,31,0,12,11,1,0,0,6,18,0,19
0,1,0,4,5,5,0,0,18,0,6,0,0,0,6,17,28,40,0,0,53,8,0,31,51,29,50,2,20,32,2,19,0,3,30,0,0,20,9,9
0,1,0,11,3,0,0,2,2,0,13,0,1,0,3,35,0,10,7,4,54,1,0,34,52,0,51,1,52,0,1,47,12,0,0,0,1,9,10,2
0,0,0,0,70,0,0,0,0,0,0,0,0,0,14,36,29,41,0,0,55,9,1,35,53,30,52,2,53,33,0,48,0,0,31,0,0,38,4,20
0,0,0,0,1,3,0,0,27,0,0,0,0,0,3,37,0,10,0,0,56,1,0,11,54,0,53,2,54,0,5,49,13,0,0,0,6,39,3,21
0,3,0,0,0,0,0,0,0,0,0,0,0,0,7,38,2,2,0,5,57,5,1,2,55,2,54,1,55,2,8,50,1,2,2,0,2,2,1,2
0,4,0,0,18,0,0,1,0,0,0,0,0,0,0,12,30,42,0,0,58,1,1,11,56,31,55,2,51,34,6,12,0,1,32,0,6,40,2,22
49,0,0,47,0,0,4,4,1,124,6,0,4,0,3,39,31,43,3,0,59,10,0,2,57,32,56,0,56,35,0,51,0,1,33,0,1,41,2,23
0,0,0,7,5,0,0,0,0,0,0,0,0,1,3,17,0,10,0,0,60,1,1,36,58,0,57,5,24,0,0,19,14,1,0,0,0,20,0,2
1,0,0,11,0,0,0,1,0,124,6,0,1,0,3,40,0,10,0,2,61,11,0,37,59,0,58,2,57,0,5,52,1,2,0,0,0,9,1,2
0,0,0,4,3,0,0,0,2,0,20,0,0,1,3,35,0,44,0,2,62,12,0,38,60,0,59,2,58,0,0,47,15,1,0,0,0,18,0,24
8,0,0,0,0,0,16,0,0,0,27,0,0,0,0,0,32,32,0,0,63,13,0,2,61,33,60,1,59,36,0,53,0,1,34,0,1,18,0,25
0,0,0,2,1,0,0,0,0,0,0,0,0,0,6,26,0,10,0,2,64,5,0,2,62,0,61,2,60,0,4,30,0,0,0,0,1,42,0,26
6,2,0,7,0,0,0,1,0,124,6,1,0,0,15,41,0,45,0,0,65,1,0,12,17,0,17,2,61,0,6,54,16,3,0,1,6,43,2,27
0,0,0,2,7,1,0,8,11,0,6,0,4,0,3,2,2,2,0,0,66,1,0,39,63,2,62,2,62,2,5,55,1,2,2,0,3,2,1,2
0,0,0,4,0,0,1,9,2,0,6,0,0,0,2,36,33,46,5,1,67,5,0,40,64,34,63,1,63,37,0,56,0,3,35,0,1,44,4,28
5,0,1,5,0,0,0,1,0,124,6,0,0,0,3,28,0,10,1,0,68,14,0,41,65,0,64,0,64,0,5,32,17,3,0,0,8,9,0,2
0,2,0,1,1,0,1,0,0,0,6,0,0,1,3,42,0,47,6,1,69,5,0,42,66,0,65,1,65,38,0,57,1,2,0,1,0,45,1,2
0,0,0,2,3,0,2,2,18,0,13,0,0,0,0,12,0,10,5,2,70,7,0,43,67,0,66,1,49,0,6,12,18,1,0,0,1,9,2,29
0,0,0,0,28,0,0,1,3,0,0,0,0,0,2,24,5,2,0,5,6,1,1,44,68,6,67,6,30,6,1,28,1,2,6,0,0,2,1,2
0,0,0,4,6,0,0,0,5,0,13,0,0,1,3,1,1,1,0,4,71,1,0,45,69,1,68,1,1,1,1,1,0,1,1,0,1,1,2,1
0,7,0,2,0,0,0,0,0,0,0,0,0,0,13,11,0,10,0,0,72,3,1,2,70,0,34,2,66,0,8,58,1,2,0,1,1,9,1,2
2,0,0,10,0,0,0,6,14,124,27,9,1,0,8,11,34,48,1,5,73,1,0,46,71,35,69,1,67,39,2,59,1,2,36,0,1,46,1,2
2,0,0,110,0,0,5,7,12,124,54,1,11,1,3,20,0,10,3,0,26,1,0,17,25,0,25,0,68,0,2,23,19,3,0,0,8,20,5,9
1,1,0,61,0,0,1,9,3,124,61,0,6,0,3,3,35,49,0,4,74,5,0,47,72,36,70,1,69,40,0,60,1,2,37,0,1,3,1,2
0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,24,5,2,5,1,75,3,0,2,73,6,71,6,30,6,3,28,1,2,6,0,0,2,1,2
0,0,0,1,7,0,0,0,0,0,6,0,0,0,0,4,0,4,3,5,76,1,0,48,74,0,72,6,70,41,5,61,1,2,38,0,7,4,1,2
16,0,1,47,0,0,1,7,2,124,13,0,7,0,7,29,36,50,0,0,77,1,0,49,75,37,73,6,71,42,0,62,20,1,39,1,1,47,4,30
0,0,1,5,0,0,3,0,3,0,34,1,0,0,3,37,37,51,3,0,78,4,0,50,76,38,74,0,72,43,7,49,0,3,40,0,9,48,3,31
0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,17,38,52,1,5,79,0,0,51,77,39,75,2,20,44,6,19,21,3,41,0,1,49,5,32
0,2,0,14,2,0,3,2,18,0,61,0,1,0,3,36,0,53,0,3,80,1,0,2,15,0,15,2,53,0,0,48,0,0,0,0,1,50,4,33
7,0,0,8,0,0,0,1,0,124,6,0,0,1,3,17,39,54,0,0,81,5,0,52,58,40,57,2,20,45,0,19,22,3,42,0,0,20,0,9
0,0,0,4,1,0,0,0,0,0,0,0,0,1,3,43,40,55,0,4,82,0,0,53,78,41,76,2,73,46,3,63,1,2,43,0,1,51,1,2
1,1,0,20,0,0,1,6,8,124,13,0,2,0,6,11,0,10,0,4,83,1,0,54,79,0,77,2,18,0,0,64,1,2,0,0,1,9,1,2
0,0,1,32,2,0,0,4,3,0,6,0,3,0,13,17,23,32,3,4,84,5,0,55,80,24,78,6,74,26,1,39,6,1,25,0,1,18,0,13
0,6,0,33,6,0,0,4,1,0,6,0,3,1,0,44,0,56,0,1,85,1,0,56,81,0,79,2,75,47,0,65,23,1,44,0,6,52,4,34
0,0,0,0,9,0,0,6,1,0,0,0,0,0,0,24,5,2,0,1,86,1,0,57,82,6,80,0,76,6,2,66,1,2,6,0,9,2,1,2
0,0,0,0,269,0,0,2,0,0,0,0,0,0,3,24,5,2,1,0,87,1,1,58,83,6,81,6,30,6,0,28,1,2,6,3,0,2,1,2
0,0,0,16,0,0,1,2,11,0,27,0,1,0,3,45,0,10,0,0,88,1,0,59,84,0,82,2,77,0,0,67,0,1,0,0,1,9,9,35
0,0,0,0,1,0,0,0,0,0,6,0,0,0,3,0,23,32,1,5,6,1,0,2,85,24,83,0,78,26,1,53,0,1,25,0,0,18,0,36
0,5,0,1,67,0,0,0,0,0,0,0,0,0,3,11,41,57,3,0,89,5,1,60,86,42,84,0,79,48,1,40,1,2,45,0,9,53,1,2
0,1,1,2,16,1,0,0,2,0,0,0,0,0,3,46,42,58,0,0,90,0,0,61,87,43,85,1,80,49,0,68,24,0,46,0,6,20,2,9
0,0,1,1,6,0,0,0,0,0,6,0,0,0,3,17,0,59,0,1,91,1,0,62,88,0,86,2,20,50,5,19,25,0,47,0,0,18,0,37
0,92,0,1,2,0,1,0,4,0,47,0,0,0,7,47,43,60,0,0,92,0,0,37,89,44,87,8,81,51,6,69,1,2,48,0,0,54,1,2
0,2,0,2,5,1,0,0,14,0,13,0,0,0,3,17,0,10,1,4,93,1,0,63,90,0,88,1,82,0,0,19,0,0,0,0,1,9,0,2
0,0,0,0,2,0,24,0,14,0,102,0,0,1,7,48,0,10,0,0,94,1,0,64,91,0,89,0,83,0,2,70,1,2,0,1,9,9,1,2
0,95,0,0,11,0,0,1,0,0,0,0,1,0,16,0,0,32,0,4,95,1,0,2,92,0,90,6,84,36,1,53,0,1,0,0,1,18,0,36
0,3,0,17,1,0,0,1,7,0,13,0,2,1,0,49,44,61,0,1,96,1,0,65,93,45,91,2,85,52,0,71,0,1,49,0,6,55,2,38
0,1,0,36,0,0,7,6,58,0,40,0,3,1,3,50,45,62,3,0,97,1,0,66,94,46,92,2,86,53,6,72,0,1,50,0,9,43,11,39
0,0,0,1,2,0,0,0,2,0,6,0,0,0,7,51,0,63,0,0,98,1,0,2,95,0,93,5,87,0,7,73,26,3,0,1,0,56,11,40
0,1,0,20,1,1,7,3,13,0,13,0,8,0,3,52,0,64,0,0,99,1,0,67,96,0,94,2,88,0,0,74,1,2,0,0,9,57,1,2
0,1,0,20,6,2,0,8,13,0,6,0,2,0,0,3,0,65,8,5,100,6,0,2,97,0,95,1,69,54,5,60,1,2,51,0,1,3,1,2
2,0,0,0,0,0,0,0,0,124,6,0,0,1,3,53,0,10,0,4,101,3,0,2,98,0,96,1,89,0,1,75,27,0,0,0,1,9,0,2
0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,36,46,66,0,0,102,5,1,2,99,47,97,1,90,55,8,76,0,1,52,0,2,58,4,41
7,0,0,4,0,0,1,7,6,124,27,0,0,0,7,54,0,10,1,1,103,1,0,68,100,0,98,2,91,0,0,77,1,2,0,0,1,59,1,2
2,0,0,19,0,0,0,2,2,124,13,0,1,0,3,4,0,4,3,0,104,1,0,69,101,0,99,1,92,41,1,78,1,2,53,1,1,4,1,2
0,0,0,0,12,0,0,3,0,0,0,0,2,0,3,55,5,2,0,0,105,1,0,70,102,6,100,2,93,6,0,79,1,2,6,0,9,2,1,2
0,0,0,0,1,0,1,0,2,0,6,0,0,0,7,14,47,67,0,4,103,1,0,71,100,48,98,2,94,56,0,80,0,0,54,0,1,60,4,42
2,11,0,4,0,0,0,8,2,124,20,0,0,0,3,27,0,68,3,1,106,1,0,2,103,0,101,1,95,0,1,31,1,2,0,0,1,27,1,2
0,0,0,41,7,9,0,6,36,0,20,0,4,1,7,18,48,69,0,0,44,14,0,72,42,49,41,2,22,57,0,21,1,2,55,0,9,61,1,2
0,1,0,0,4,11,0,0,2,0,6,0,0,1,15,11,0,10,5,0,107,1,0,2,104,0,102,1,96,0,1,81,1,2,0,0,1,62,1,2
0,0,1,1,4,0,0,4,3,0,6,0,2,0,3,56,0,45,0,0,108,1,0,73,105,0,103,2,97,0,5,82,16,0,0,0,9,43,12,27
0,0,0,0,0,0,0,5,1,0,6,0,0,1,3,14,47,67,0,3,103,1,0,71,100,48,98,2,94,56,1,80,0,0,54,0,1,60,4,42
0,0,0,0,12,0,0,0,0,0,0,0,0,0,3,11,0,10,5,0,109,1,0,74,106,0,104,2,98,0,1,83,1,2,0,0,0,63,1,2
1,0,0,0,0,0,0,1,0,124,13,0,0,0,7,37,0,70,3,0,110,1,0,75,107,0,105,9,99,58,0,49,28,3,0,0,6,64,3,43
0,0,0,30,0,0,0,4,3,0,6,0,3,0,7,29,0,71,3,0,111,5,0,76,108,0,106,2,100,59,0,84,29,0,56,0,0,65,4,44
1,0,0,13,0,0,3,2,9,124,47,0,1,1,7,20,0,10,0,3,26,15,0,17,25,0,25,0,68,0,6,23,30,3,0,0,1,66,0,45
0,2,0,13,0,0,0,3,5,0,13,0,7,0,3,57,49,72,1,5,112,5,0,77,109,50,107,6,101,60,1,85,31,3,57,0,1,67,4,46
